net,length_um
_1104_,12.46
_0003_,12.44
_0806_,12.44
_1248_,12.415
_0269_,12.38
_0480_,12.38
_1256_,12.38
_0121_,12.36
_1336_,12.36
_0183_,12.34
_0834_,12.32
_0204_,12.315
_0231_,12.3
_0757_,12.28
_0833_,12.28
_0781_,12.26
_1134_,12.24
_0115_,12.22
_0125_,12.22
_0282_,12.2
_0634_,12.16
_0879_,12.16
_1135_,12.16
_1277_,12.14
_1298_,12.14
_0671_,12.12
_1207_,12.1
_0542_,12.08
_1146_,12.08
_1285_,12.08
_0037_,12.04
_0198_,12.04
_0193_,12.02
_0230_,12.02
_1348_,12.02
_0444_,12.015
_0601_,12
_1041_,12
_0063_,11.98
_0928_,11.98
_0316_,11.94
mcand[8],11.94
product[15],11.94
product[17],11.94
product[5],11.94
_0513_,11.88
_0850_,11.88
_0953_,11.88
_0997_,11.88
_0626_,11.86
_0206_,11.82
_1297_,11.82
mcand[5],11.82
_0034_,11.8
_1162_,11.8
_0884_,11.78
_1036_,11.77
_1075_,11.76
_0160_,11.74
_0610_,11.74
_1057_,11.68
_1264_,11.68
_0609_,11.665
_0545_,11.66
_1103_,11.66
_1111_,11.66
_0259_,11.64
_1147_,11.64
_0580_,11.58
_1034_,11.58
_0256_,11.56
_0882_,11.54
_1037_,11.54
_1098_,11.54
_0205_,11.52
_1294_,11.5
_1325_,11.48
_0111_,11.46
_0509_,11.46
_0814_,11.46
_1231_,11.46
_0481_,11.435
_1011_,11.42
_1142_,11.42
_1225_,11.42
_0461_,11.4
_0119_,11.38
_0540_,11.375
_0087_,11.35
_1167_,11.34
_1213_,11.34
_1081_,11.32
_1329_,11.32
_0294_,11.3
_1009_,11.28
_0348_,11.26
_1164_,11.26
product[28],11.26
product[6],11.26
_0856_,11.24
product[27],11.24
_0151_,11.22
_1050_,11.22
_1209_,11.2
_1072_,11.18
_0666_,11.14
_1093_,11.14
_0094_,11.12
_0005_,11.1
_0283_,11.08
_0673_,11.08
_1125_,11.08
_1208_,11.08
_0142_,11.06
_0350_,11.02
mplier[1],11.02
_0968_,10.98
_1100_,10.98
_0027_,10.96
_0996_,10.96
_1040_,10.96
_0465_,10.94
_0507_,10.94
_0084_,10.88
_0284_,10.88
_0346_,10.88
_1132_,10.87
_0976_,10.86
_0917_,10.84
_1076_,10.84
net40,10.74
_0635_,10.67
_0871_,10.66
mcand[11],10.65
_0052_,10.64
_0144_,10.64
_0271_,10.64
_0496_,10.64
_0659_,10.62
net65,10.595
_0167_,10.58
product[10],10.56
_0567_,10.55
_0039_,10.54
_0072_,10.54
_0430_,10.54
_0575_,10.52
_0717_,10.52
_0105_,10.5
_0215_,10.5
_0672_,10.5
_0812_,10.5
_0813_,10.5
_1356_,10.5
_0987_,10.48
_0145_,10.46
_0334_,10.46
_0429_,10.38
_0277_,10.36
_0657_,10.3
_0935_,10.3
_0818_,10.295
_0639_,10.28
_1152_,10.28
_0421_,10.26
_0597_,10.24
_1186_,10.24
_0608_,10.2
_0627_,10.2
_0397_,10.19
_0344_,10.18
_0956_,10.14
_0881_,10.12
_1120_,10.09
_0800_,10.04
_1171_,10.04
_0418_,10.02
_1351_,10
mcand[3],9.99
mplier[13],9.99
product[19],9.98
_0258_,9.96
_1001_,9.96
_0157_,9.94
_0876_,9.94
_1205_,9.94
_1288_,9.94
_1163_,9.92
_0377_,9.9
_1015_,9.9
_0725_,9.88
_0970_,9.88
_1206_,9.88
_0419_,9.86
_1253_,9.86
_1349_,9.86
_1051_,9.84
_0450_,9.82
_0998_,9.815
_0051_,9.8
_0520_,9.8
_1174_,9.8
_0411_,9.78
_1265_,9.78
_1210_,9.76
mplier[10],9.74
_0843_,9.72
product[16],9.64
product[3],9.64
product[4],9.64
_0046_,9.58
_0098_,9.54
_0140_,9.54
_0582_,9.54
_0668_,9.54
_0353_,9.535
_0706_,9.52
mplier[6],9.52
_0080_,9.5
_0714_,9.5
_0778_,9.5
_0910_,9.5
_0990_,9.5
_1071_,9.5
_0921_,9.48
_0221_,9.46
_1299_,9.42
_1116_,9.4
mcand[13],9.4
mcand[14],9.4
mcand[6],9.4
mplier[4],9.4
_0308_,9.38
_0596_,9.38
_0923_,9.38
_1229_,9.38
_0013_,9.36
_0049_,9.36
_0114_,9.36
_0187_,9.36
_0907_,9.36
_0929_,9.34
_1064_,9.34
mplier[15],9.33
_1260_,9.32
_1343_,9.32
_0554_,9.28
_1267_,9.24
_0561_,9.2
mcand[9],9.19
_0786_,9.18
_0961_,9.16
_1084_,9.16
_0893_,9.13
_0578_,9.12
_1201_,9.12
_0004_,9.1
_0464_,9.1
_0854_,9.1
net62,9.1
_0253_,9.04
_0719_,9.04
_1271_,9.04
_0025_,8.96
_0116_,8.96
_0827_,8.96
product[22],8.96
product[30],8.96
_0055_,8.94
_1190_,8.94
_1113_,8.92
_0188_,8.9
_0310_,8.9
_0368_,8.84
_0991_,8.84
mcand[4],8.84
_0620_,8.82
_0842_,8.82
_0220_,8.8
_0602_,8.8
_0718_,8.78
_0761_,8.78
_0915_,8.78
_1092_,8.78
_1224_,8.76
_1295_,8.76
_0018_,8.74
_0287_,8.74
mcand[7],8.72
mplier[2],8.72
mplier[3],8.72
mplier[5],8.72
mplier[9],8.72
_1366_,8.68
_0050_,8.66
_0805_,8.66
_1148_,8.66
_0169_,8.64
_1169_,8.64
_0647_,8.62
_0182_,8.6
_1280_,8.58
_1303_,8.58
_0468_,8.56
_0738_,8.56
_0251_,8.54
_0636_,8.5
_1025_,8.5
_0148_,8.48
_1342_,8.48
product[23],8.47
_0249_,8.46
_0358_,8.44
_0463_,8.44
_1244_,8.44
_1314_,8.44
_0889_,8.38
_1112_,8.38
mplier[7],8.38
_1168_,8.37
_0266_,8.36
_0290_,8.36
_0428_,8.36
_0594_,8.36
_1327_,8.36
_0708_,8.34
_0236_,8.335
_0466_,8.32
_0058_,8.28
_0755_,8.26
product[26],8.25
_0339_,8.24
_0711_,8.24
_1219_,8.24
_1286_,8.24
_0515_,8.22
_0715_,8.22
_0042_,8.2
_0564_,8.2
_0682_,8.2
_0015_,8.18
_0808_,8.16
_1341_,8.15
_0591_,8.12
_1106_,8.12
_1233_,8.12
_0028_,8.1
_0267_,8.1
_0860_,8.1
_1032_,8.1
_1048_,8.1
_1165_,8.1
net50,8.04
_0079_,8.02
_0190_,8.02
