net,length_um
product[41],4.95
_166_,4.94
_198_,4.94
_219_,4.94
net149,4.94
_235_,4.92
_302_,4.92
_412_,4.92
net136,4.92
_180_,4.9
_388_,4.88
_392_,4.88
_426_,4.88
_290_,4.82
_327_,4.82
_109_,4.805
_137_,4.8
_335_,4.78
_186_,4.76
_260_,4.76
_385_,4.76
_349_,4.68
net144,4.66
_283_,4.6
net43,4.58
_244_,4.575
_147_,4.46
_404_,4.46
_020_,4.445
_025_,4.425
_423_,4.42
product[13],4.39
product[18],4.39
product[31],4.39
product[35],4.39
product[48],4.39
product[5],4.39
product[9],4.39
_093_,4.36
_413_,4.36
_168_,4.34
_329_,4.34
_345_,4.34
net147,4.34
mcand[3],4.27
product[14],4.27
_053_,4.24
_227_,4.22
net154,4.14
net156,4.14
_026_,4.065
_143_,4.02
_183_,4.02
_254_,4
_403_,4
_431_,4
_433_,3.98
_014_,3.965
mcand[1],3.93
mcand[4],3.93
mplier[6],3.93
mplier[7],3.93
_138_,3.905
_214_,3.88
_252_,3.88
_265_,3.88
_279_,3.88
_316_,3.86
_271_,3.78
net132,3.76
_091_,3.68
_125_,3.68
_199_,3.68
_220_,3.68
_170_,3.66
_207_,3.66
_197_,3.585
_264_,3.565
_241_,3.56
_391_,3.56
_442_,3.56
_208_,3.545
_287_,3.54
_424_,3.54
_002_,3.525
contador_act\[4\],3.52
_018_,3.505
_041_,3.465
_033_,3.46
_193_,3.425
_182_,3.42
_261_,3.42
_369_,3.42
_380_,3.42
net47,3.42
net133,3.42
_046_,3.345
_065_,3.34
_040_,3.245
net151,3.22
_304_,3.18
_330_,3.18
_356_,3.18
_060_,3.125
_201_,3.1
_237_,3.1
_263_,3.1
_410_,3.1
_428_,3.1
_172_,3.08
_191_,3.08
_249_,3.08
_367_,3.08
_395_,3.08
_009_,3.065
_042_,3.045
_311_,3.02
_050_,3.005
_058_,3.005
_322_,2.985
_131_,2.98
_258_,2.98
_097_,2.96
_149_,2.96
_159_,2.96
_215_,2.96
_312_,2.96
_320_,2.96
_419_,2.96
_188_,2.94
_057_,2.885
_387_,2.86
_034_,2.785
_222_,2.76
_315_,2.76
_354_,2.76
_063_,2.715
_343_,2.64
_165_,2.62
_323_,2.62
_340_,2.62
_375_,2.62
_420_,2.62
net155,2.62
_005_,2.605
_024_,2.605
_071_,2.605
_048_,2.595
_007_,2.585
_064_,2.545
_004_,2.54
_027_,2.52
_139_,2.52
_281_,2.52
_427_,2.52
_280_,2.505
_092_,2.5
_100_,2.5
_006_,2.42
_036_,2.42
_070_,2.42
net157,2.4
_051_,2.375
_054_,2.375
_346_,2.34
_017_,2.325
_029_,2.325
_032_,2.325
_045_,2.325
_047_,2.325
_068_,2.325
_119_,2.3
net141,2.3
net152,2.3
net161,2.3
_011_,2.255
_044_,2.255
_175_,2.255
_085_,2.18
_134_,2.18
_440_,2.18
_114_,2.16
_245_,2.16
_359_,2.16
_368_,2.16
_402_,2.16
_008_,2.145
_010_,2.125
_072_,2.085
_013_,2.08
_031_,2.08
_019_,2.06
_122_,2.06
_421_,2.06
_229_,2.045
_248_,2.04
_293_,2.04
_336_,2.04
_338_,2.04
_342_,2.04
_043_,2.025
_052_,2.025
_432_,1.94
_061_,1.915
_001_,1.865
_030_,1.865
_056_,1.865
_067_,1.865
_370_,1.84
_418_,1.84
_127_,1.82
_212_,1.72
_110_,1.7
_250_,1.7
_348_,1.7
net148,1.7
_049_,1.405
_187_,1.38
_239_,1.38
net137,1.38
_171_,1.265
_275_,1.26
_285_,1.26
_230_,1.14
_297_,1.14
_347_,1.14
_390_,1.14
_394_,1.14
_396_,1.14
_401_,1.14
_379_,1.02
_225_,0.92
_286_,0.46
